Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_low_agents_high_density\test_0.txt,CBS,A*,14,0,2,3,2
instances_low_agents_high_density\test_1.txt,CBS,A*,17,0,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,A*,21,0.01,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,A*,20,0.01,8,15,8
instances_low_agents_high_density\test_12.txt,CBS,A*,6,0,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,A*,24,0.008,7,13,7
instances_low_agents_high_density\test_14.txt,CBS,A*,24,0,1,1,1
instances_low_agents_high_density\test_15.txt,CBS,A*,12,0,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,A*,9,0,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,A*,19,0,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,A*,26,0.001,3,5,3
instances_low_agents_high_density\test_19.txt,CBS,A*,7,0,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,A*,34,0.001,5,9,5
instances_low_agents_high_density\test_20.txt,CBS,A*,18,0.001,1,1,1
instances_low_agents_high_density\test_21.txt,CBS,A*,21,0.014,12,23,12
instances_low_agents_high_density\test_22.txt,CBS,A*,20,0.007,12,23,12
instances_low_agents_high_density\test_23.txt,CBS,A*,23,0.005,3,5,3
instances_low_agents_high_density\test_24.txt,CBS,A*,20,0.003,8,15,8
instances_low_agents_high_density\test_3.txt,CBS,A*,19,0,1,1,1
instances_low_agents_high_density\test_4.txt,CBS,A*,14,0,1,1,1
instances_low_agents_high_density\test_5.txt,CBS,A*,18,0.001,1,1,1
instances_low_agents_high_density\test_6.txt,CBS,A*,8,0,1,1,1
instances_low_agents_high_density\test_7.txt,CBS,A*,24,0,1,1,1
instances_low_agents_high_density\test_8.txt,CBS,A*,21,0.003,4,7,4
instances_low_agents_high_density\test_9.txt,CBS,A*,23,0,2,3,2
instances_low_agents_high_density\test_0.txt,CBS,LA*,14,0,2,3,2
instances_low_agents_high_density\test_1.txt,CBS,LA*,17,0,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,LA*,21,0.019,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,LA*,20,0.015,8,15,8
instances_low_agents_high_density\test_12.txt,CBS,LA*,6,0,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,LA*,24,0.026,7,13,7
instances_low_agents_high_density\test_14.txt,CBS,LA*,24,0.001,1,1,1
instances_low_agents_high_density\test_15.txt,CBS,LA*,12,0.003,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,LA*,9,0,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,LA*,26,0.004,3,5,3
instances_low_agents_high_density\test_19.txt,CBS,LA*,7,0,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,LA*,34,0.009,5,9,5
instances_low_agents_high_density\test_20.txt,CBS,LA*,18,0.003,1,1,1
instances_low_agents_high_density\test_21.txt,CBS,LA*,21,0.021,12,23,12
instances_low_agents_high_density\test_22.txt,CBS,LA*,20,0.02,12,23,12
instances_low_agents_high_density\test_23.txt,CBS,LA*,23,0.008,3,5,3
instances_low_agents_high_density\test_24.txt,CBS,LA*,20,0.006,8,15,8
instances_low_agents_high_density\test_3.txt,CBS,LA*,19,0,1,1,1
instances_low_agents_high_density\test_4.txt,CBS,LA*,14,0,1,1,1
instances_low_agents_high_density\test_5.txt,CBS,LA*,18,0,1,1,1
instances_low_agents_high_density\test_6.txt,CBS,LA*,8,0,1,1,1
instances_low_agents_high_density\test_7.txt,CBS,LA*,24,0,1,1,1
instances_low_agents_high_density\test_8.txt,CBS,LA*,21,0.009,4,7,4
instances_low_agents_high_density\test_9.txt,CBS,LA*,23,0.003,2,3,2
instances_low_agents_high_density\test_0.txt,CBS,AL*,14,0.1,2,3,2
instances_low_agents_high_density\test_1.txt,CBS,AL*,17,0.263,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,AL*,21,3.241,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,AL*,20,3.01,7,13,7
instances_low_agents_high_density\test_12.txt,CBS,AL*,6,0.023,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,AL*,24,3.961,6,11,6
instances_low_agents_high_density\test_14.txt,CBS,AL*,24,0.269,1,1,1
instances_low_agents_high_density\test_15.txt,CBS,AL*,12,0.28,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,AL*,9,0.081,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,AL*,19,0.212,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,AL*,26,1.053,3,5,3
instances_low_agents_high_density\test_19.txt,CBS,AL*,7,0.031,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,AL*,34,1.967,5,9,5
instances_low_agents_high_density\test_20.txt,CBS,AL*,18,0.24,1,1,1
instances_low_agents_high_density\test_21.txt,CBS,AL*,21,4.734,9,17,9
instances_low_agents_high_density\test_22.txt,CBS,AL*,20,2.844,10,19,10
instances_low_agents_high_density\test_23.txt,CBS,AL*,23,0.281,3,5,3
instances_low_agents_high_density\test_24.txt,CBS,AL*,20,1.553,8,15,8
instances_low_agents_high_density\test_3.txt,CBS,AL*,19,0.091,1,1,1
instances_low_agents_high_density\test_4.txt,CBS,AL*,14,0.043,1,1,1
instances_low_agents_high_density\test_5.txt,CBS,AL*,18,0.126,1,1,1
instances_low_agents_high_density\test_6.txt,CBS,AL*,8,0.085,1,1,1
instances_low_agents_high_density\test_7.txt,CBS,AL*,24,0.262,1,1,1
instances_low_agents_high_density\test_8.txt,CBS,AL*,21,0.785,4,7,4
instances_low_agents_high_density\test_9.txt,CBS,AL*,23,0.37,2,3,2
instances_low_agents_high_density\test_0.txt,CBS,IDA*,14,0,1,1,1
instances_low_agents_high_density\test_1.txt,CBS,IDA*,17,0,1,1,1
instances_low_agents_high_density\test_10.txt,CBS,IDA*,21,1.71,4,7,4
instances_low_agents_high_density\test_11.txt,CBS,IDA*,20,0.009,3,5,3
instances_low_agents_high_density\test_12.txt,CBS,IDA*,6,0,1,1,1
instances_low_agents_high_density\test_13.txt,CBS,IDA*,24,7.482,7,13,7
instances_low_agents_high_density\test_14.txt,CBS,IDA*,24,0.005,2,3,2
instances_low_agents_high_density\test_15.txt,CBS,IDA*,12,0.005,2,3,2
instances_low_agents_high_density\test_16.txt,CBS,IDA*,9,0,1,1,1
instances_low_agents_high_density\test_17.txt,CBS,IDA*,19,0.003,1,1,1
instances_low_agents_high_density\test_18.txt,CBS,IDA*,26,0.005,4,7,4
instances_low_agents_high_density\test_19.txt,CBS,IDA*,7,0,1,1,1
instances_low_agents_high_density\test_2.txt,CBS,IDA*,34,0.006,3,5,3
instances_low_agents_high_density\test_20.txt,CBS,IDA*,18,0.001,2,3,2
instances_low_agents_high_density\test_21.txt,CBS,IDA*,21,0.401,11,21,11
instances_low_agents_high_density\test_22.txt,CBS,IDA*,20,0,2,3,2
instances_low_agents_high_density\test_23.txt,CBS,IDA*,23,0,1,1,1
instances_low_agents_high_density\test_24.txt,CBS,IDA*,20,0.008,3,5,3
instances_low_agents_high_density\test_3.txt,CBS,IDA*,19,0,1,1,1
instances_low_agents_high_density\test_4.txt,CBS,IDA*,14,0.003,1,1,1
instances_low_agents_high_density\test_5.txt,CBS,IDA*,18,0,1,1,1
instances_low_agents_high_density\test_6.txt,CBS,IDA*,8,0.006,2,3,2
instances_low_agents_high_density\test_7.txt,CBS,IDA*,24,0.005,2,3,2
instances_low_agents_high_density\test_8.txt,CBS,IDA*,21,0.005,3,5,3
instances_low_agents_high_density\test_9.txt,CBS,IDA*,23,0.003,2,3,2
instances_low_agents_high_density\test_0.txt,ICTS,A*,14,0.006,3,3,1
instances_low_agents_high_density\test_1.txt,ICTS,A*,17,0.005,3,3,1
instances_low_agents_high_density\test_10.txt,ICTS,A*,21,0.103,9,12,4
instances_low_agents_high_density\test_11.txt,ICTS,A*,20,0.038,7,9,3
instances_low_agents_high_density\test_12.txt,ICTS,A*,6,0.003,3,3,1
instances_low_agents_high_density\test_13.txt,ICTS,A*,24,0.066,9,14,6
instances_low_agents_high_density\test_14.txt,ICTS,A*,24,0.014,3,3,1
instances_low_agents_high_density\test_15.txt,ICTS,A*,12,0.008,4,4,1
instances_low_agents_high_density\test_16.txt,ICTS,A*,9,0.008,3,3,1
instances_low_agents_high_density\test_17.txt,ICTS,A*,19,0.014,3,3,1
instances_low_agents_high_density\test_18.txt,ICTS,A*,26,0.139,9,12,4
instances_low_agents_high_density\test_19.txt,ICTS,A*,7,0.005,3,3,1
instances_low_agents_high_density\test_2.txt,ICTS,A*,34,0.3,15,25,9
instances_low_agents_high_density\test_20.txt,ICTS,A*,18,0.011,3,3,1
instances_low_agents_high_density\test_21.txt,ICTS,A*,21,0.32,24,38,15
instances_low_agents_high_density\test_22.txt,ICTS,A*,20,0.049,6,8,3
instances_low_agents_high_density\test_23.txt,ICTS,A*,23,0.025,5,5,1
instances_low_agents_high_density\test_24.txt,ICTS,A*,20,0.189,19,31,10
instances_low_agents_high_density\test_3.txt,ICTS,A*,19,0.014,3,3,1
instances_low_agents_high_density\test_4.txt,ICTS,A*,14,0.008,3,3,1
instances_low_agents_high_density\test_5.txt,ICTS,A*,18,0.02,3,3,1
instances_low_agents_high_density\test_6.txt,ICTS,A*,8,0.008,3,3,1
instances_low_agents_high_density\test_7.txt,ICTS,A*,24,0.024,3,3,1
instances_low_agents_high_density\test_8.txt,ICTS,A*,21,0.044,9,12,4
instances_low_agents_high_density\test_9.txt,ICTS,A*,23,0.014,3,3,1
instances_low_agents_high_density\test_0.txt,ICTS,LA*,14,0.003,3,3,1
instances_low_agents_high_density\test_1.txt,ICTS,LA*,17,0.011,3,3,1
instances_low_agents_high_density\test_10.txt,ICTS,LA*,21,0.122,9,12,4
instances_low_agents_high_density\test_11.txt,ICTS,LA*,20,0.05,7,9,3
instances_low_agents_high_density\test_12.txt,ICTS,LA*,6,0.003,3,3,1
instances_low_agents_high_density\test_13.txt,ICTS,LA*,24,0.06,9,14,6
instances_low_agents_high_density\test_14.txt,ICTS,LA*,24,0.015,3,3,1
instances_low_agents_high_density\test_15.txt,ICTS,LA*,12,0.011,4,4,1
instances_low_agents_high_density\test_16.txt,ICTS,LA*,9,0,3,3,1
instances_low_agents_high_density\test_17.txt,ICTS,LA*,19,0.014,3,3,1
instances_low_agents_high_density\test_18.txt,ICTS,LA*,26,0.145,9,12,4
instances_low_agents_high_density\test_19.txt,ICTS,LA*,7,0.005,3,3,1
instances_low_agents_high_density\test_2.txt,ICTS,LA*,34,0.324,15,25,9
instances_low_agents_high_density\test_20.txt,ICTS,LA*,18,0.014,3,3,1
instances_low_agents_high_density\test_21.txt,ICTS,LA*,21,0.224,24,38,15
instances_low_agents_high_density\test_22.txt,ICTS,LA*,20,0.041,6,8,3
instances_low_agents_high_density\test_23.txt,ICTS,LA*,23,0.039,5,5,1
instances_low_agents_high_density\test_24.txt,ICTS,LA*,20,0.208,19,31,10
instances_low_agents_high_density\test_3.txt,ICTS,LA*,19,0.016,3,3,1
instances_low_agents_high_density\test_4.txt,ICTS,LA*,14,0.014,3,3,1
instances_low_agents_high_density\test_5.txt,ICTS,LA*,18,0.017,3,3,1
instances_low_agents_high_density\test_6.txt,ICTS,LA*,8,0.003,3,3,1
instances_low_agents_high_density\test_7.txt,ICTS,LA*,24,0.02,3,3,1
instances_low_agents_high_density\test_8.txt,ICTS,LA*,21,0.039,9,12,4
instances_low_agents_high_density\test_9.txt,ICTS,LA*,23,0.019,3,3,1
instances_low_agents_high_density\test_0.txt,ICTS,AL*,14,0.208,3,3,1
instances_low_agents_high_density\test_1.txt,ICTS,AL*,17,0.245,3,3,1
instances_low_agents_high_density\test_10.txt,ICTS,AL*,21,0.495,9,12,4
instances_low_agents_high_density\test_11.txt,ICTS,AL*,20,0.401,7,9,3
instances_low_agents_high_density\test_12.txt,ICTS,AL*,6,0.027,3,3,1
instances_low_agents_high_density\test_13.txt,ICTS,AL*,24,0.671,9,14,6
instances_low_agents_high_density\test_14.txt,ICTS,AL*,24,0.268,3,3,1
instances_low_agents_high_density\test_15.txt,ICTS,AL*,12,0.244,4,4,1
instances_low_agents_high_density\test_16.txt,ICTS,AL*,9,0.086,3,3,1
instances_low_agents_high_density\test_17.txt,ICTS,AL*,19,0.166,3,3,1
instances_low_agents_high_density\test_18.txt,ICTS,AL*,26,0.549,9,12,4
instances_low_agents_high_density\test_19.txt,ICTS,AL*,7,0.036,3,3,1
instances_low_agents_high_density\test_2.txt,ICTS,AL*,34,1.121,15,25,9
instances_low_agents_high_density\test_20.txt,ICTS,AL*,18,0.222,3,3,1
instances_low_agents_high_density\test_21.txt,ICTS,AL*,21,0.894,24,38,15
instances_low_agents_high_density\test_22.txt,ICTS,AL*,20,0.444,6,8,3
instances_low_agents_high_density\test_23.txt,ICTS,AL*,23,0.667,5,5,1
instances_low_agents_high_density\test_24.txt,ICTS,AL*,20,0.651,19,31,10
instances_low_agents_high_density\test_3.txt,ICTS,AL*,19,0.263,3,3,1
instances_low_agents_high_density\test_4.txt,ICTS,AL*,14,0.122,3,3,1
instances_low_agents_high_density\test_5.txt,ICTS,AL*,18,0.133,3,3,1
instances_low_agents_high_density\test_6.txt,ICTS,AL*,8,0.077,3,3,1
instances_low_agents_high_density\test_7.txt,ICTS,AL*,24,0.276,3,3,1
instances_low_agents_high_density\test_8.txt,ICTS,AL*,21,0.317,9,12,4
instances_low_agents_high_density\test_9.txt,ICTS,AL*,23,0.203,3,3,1
instances_low_agents_high_density\test_0.txt,ICTS,IDA*,14,0.006,3,3,1
instances_low_agents_high_density\test_1.txt,ICTS,IDA*,17,0.009,3,3,1
instances_low_agents_high_density\test_10.txt,ICTS,IDA*,21,0.097,9,12,4
instances_low_agents_high_density\test_11.txt,ICTS,IDA*,20,0.036,7,9,3
instances_low_agents_high_density\test_12.txt,ICTS,IDA*,6,0.001,3,3,1
instances_low_agents_high_density\test_13.txt,ICTS,IDA*,24,0.062,9,14,6
instances_low_agents_high_density\test_14.txt,ICTS,IDA*,24,0.009,3,3,1
instances_low_agents_high_density\test_15.txt,ICTS,IDA*,12,0.01,4,4,1
instances_low_agents_high_density\test_16.txt,ICTS,IDA*,9,0.006,3,3,1
instances_low_agents_high_density\test_17.txt,ICTS,IDA*,19,0.009,3,3,1
instances_low_agents_high_density\test_18.txt,ICTS,IDA*,26,0.115,9,12,4
instances_low_agents_high_density\test_19.txt,ICTS,IDA*,7,0.002,3,3,1
instances_low_agents_high_density\test_2.txt,ICTS,IDA*,34,0.28,15,25,9
instances_low_agents_high_density\test_20.txt,ICTS,IDA*,18,0.011,3,3,1
instances_low_agents_high_density\test_21.txt,ICTS,IDA*,21,0.324,24,38,15
instances_low_agents_high_density\test_22.txt,ICTS,IDA*,20,0.06,6,8,3
instances_low_agents_high_density\test_23.txt,ICTS,IDA*,23,0.023,5,5,1
instances_low_agents_high_density\test_24.txt,ICTS,IDA*,20,0.191,19,31,10
instances_low_agents_high_density\test_3.txt,ICTS,IDA*,19,0.016,3,3,1
instances_low_agents_high_density\test_4.txt,ICTS,IDA*,14,0.007,3,3,1
instances_low_agents_high_density\test_5.txt,ICTS,IDA*,18,0.018,3,3,1
instances_low_agents_high_density\test_6.txt,ICTS,IDA*,8,0.003,3,3,1
instances_low_agents_high_density\test_7.txt,ICTS,IDA*,24,0.022,3,3,1
instances_low_agents_high_density\test_8.txt,ICTS,IDA*,21,0.041,9,12,4
instances_low_agents_high_density\test_9.txt,ICTS,IDA*,23,0.016,3,3,1
